temp_1,average,temp_2,friend,target
37.739560485559636,42.633270638512315,38.49001168136609,61.842081743561835,39.829378886807696
39.756223516367555,44.56683821194212,39.43998092402397,27.686817960532753,40.48817364345585
33.70798024232581,45.56058993309161,33.77401093988703,69.36569679624981,41.28050560535123
32.27238721784777,43.32750872209501,31.313504617018772,69.65787031955492,40.97004445340825
37.58087740085374,42.12715580877921,38.803418739527764,73.58726727933185,40.743003306702136
31.946387078519678,42.800326022362206,32.311831142883754,29.25736952405287,41.25849260180473
37.44762155907817,45.80505839460526,36.935378830006634,42.227582362092136,41.369587653545295
31.89471359084286,40.77952903201283,31.054557113880332,33.61456094305305,41.390355672694824
34.371519188723305,44.99606917634702,33.20032401836077,38.74199848292247,44.600694175626785
38.04764357496802,42.324870274181045,38.26633217169703,60.94973023849853,45.13415732926481
31.999082024751083,40.044173618506036,32.288201423441066,59.89105139552193,44.1257065080866
37.80729031021968,42.75349465323004,37.16841246197634,28.387819887659447,45.89696478674064
36.68402961790471,42.826577236858796,35.00115984628891,65.89993144496154,45.097651839063005
35.535794006579955,43.35524296447248,36.32914124177988,21.849070074076366,44.72258892440126
32.145846728195295,42.45117186234782,30.870160404857373,34.03636915192045,44.44832862839903
32.813838920219965,41.7615625466001,33.50432427428773,53.4219291404767,45.09512381464603
36.643135403273874,42.43832116864042,37.09991064083128,30.018375194462234,44.78216769206096
46.81043074698078,44.3341561035787,47.29740322776636,29.67630674201611,51.90749647123661
47.37080892441852,44.177922250466416,48.036194033391304,42.86127356578895,51.64602101277351
51.67254333807,42.170875663320345,50.22543086564691,27.08035412723092,51.30165190343911
54.17722621636847,44.1982428028645,53.799063662329075,78.15058264086343,51.686241617363144
52.45201170243096,42.69616901286273,52.246574144563326,25.783457729209957,51.69658015445966
50.1019866085025,41.21418018877138,50.536410252048356,54.753174136513756,51.54351002658192
53.70952855683138,44.55111717901126,53.18003584776758,45.92558238650622,51.91311128731407
51.25688172021462,43.89907960932892,50.23338422759276,44.94844413023658,52.031998010383056
50.44591737320067,41.97916727399671,50.802788432350184,26.204178063353098,51.18674216740629
47.53533671683198,45.550720710260784,47.14552691367621,40.812188272090225,52.28109056808864
46.20523483926728,45.751355279448674,45.189655758059736,66.96411363501717,52.40287594073663
50.379924977543446,42.94424196612712,50.794334410819445,54.30368314256452,50.62077223156121
48.40278096782704,41.98941398405531,47.98742370764736,46.3346876183028,51.81552546815017
53.43662731774922,45.376964631038604,53.27799248071053,53.242168612342965,50.89519023317739
52.050160837358305,41.68740270303405,52.33084760430973,63.61967685721296,51.97816471288373
46.96966851360307,45.49607107082565,45.78472474718605,22.244753370570788,51.46486436127854
49.33830055476195,44.97873845879448,50.176789758498295,39.02833356936292,52.458943807724545
48.618260543261066,43.09034277539029,48.577498017125635,76.1626142029378,52.16764332088925
