gene_id,cpg_density,expressed
SGLTR_0001,0.24395464376443093,0
SGLTR_0002,0.28406091873844963,0
SGLTR_0003,0.3902720399385139,1
SGLTR_0004,0.29864681446248165,0
SGLTR_0005,0.41835336214606494,0
SGLTR_0006,0.49963164721546416,1
SGLTR_0007,0.3039632841398589,0
SGLTR_0008,0.15089426689933477,1
SGLTR_0009,0.3293798647231175,0
SGLTR_0010,0.5237398684560446,0
SGLTR_0011,0.16127411465867025,1
SGLTR_0012,0.3274650438666328,0
SGLTR_0013,0.48761242462451476,0
SGLTR_0014,0.21620560433097472,0
SGLTR_0015,0.29178582562220173,1
SGLTR_0016,0.22819733188848898,0
SGLTR_0017,0.15634583241166214,0
SGLTR_0018,0.14563365400354747,0
SGLTR_0019,0.3281252531586547,1
SGLTR_0020,0.313299117387217,1
SGLTR_0021,0.32894420762061183,0
SGLTR_0022,0.16357224331793252,0
SGLTR_0023,0.41305495459492536,1
SGLTR_0024,0.11293331963858236,0
SGLTR_0025,0.3648103431760136,1
SGLTR_0026,0.29892066136433687,1
SGLTR_0027,0.09624516671128007,0
SGLTR_0028,0.395987313395504,1
SGLTR_0029,0.25349054600379056,1
SGLTR_0030,0.6281818928514328,0
SGLTR_0031,0.22661914083185933,0
SGLTR_0032,0.5606250264600108,0
SGLTR_0033,0.1640564553357773,0
SGLTR_0034,0.0688624480669468,0
SGLTR_0035,0.5079425083905975,0
SGLTR_0036,0.04625077045058682,0
SGLTR_0037,0.11893728837457813,1
SGLTR_0038,0.43580332116414594,1
SGLTR_0039,0.24392524862993042,0
SGLTR_0040,0.2768931445268666,0
SGLTR_0041,0.479835745865537,1
SGLTR_0042,0.4232122092470457,1
SGLTR_0043,0.2031280864899692,0
SGLTR_0044,0.052897264407406976,0
SGLTR_0045,0.15792929255959193,1
SGLTR_0046,0.17389174406264576,0
SGLTR_0047,0.4552325047221421,1
SGLTR_0048,0.5640587698096096,1
SGLTR_0049,0.08919630954948148,0
SGLTR_0050,0.2339890354013085,1
SGLTR_0051,0.5450425599776015,1
SGLTR_0052,0.2092531689413234,0
SGLTR_0053,0.3996442644059915,0
SGLTR_0054,0.3734145063194637,0
SGLTR_0055,0.3619444339374875,0
SGLTR_0056,0.21604299064489343,1
SGLTR_0057,0.12510978300763198,0
SGLTR_0058,0.26730226900100523,1
SGLTR_0059,0.3925602709342212,0
SGLTR_0060,0.05128730414767465,1
SGLTR_0061,0.6816644924045036,1
SGLTR_0062,0.024211150100058833,0
SGLTR_0063,0.04150542797091383,0
SGLTR_0064,0.11519921241583758,0
SGLTR_0065,0.19455375389612842,0
SGLTR_0066,0.26448596600444013,0
SGLTR_0067,0.2562274533820433,0
SGLTR_0068,0.2816921886346191,0
SGLTR_0069,0.16759708002585516,0
SGLTR_0070,0.5912049948167846,1
SGLTR_0071,0.20750380004764835,0
SGLTR_0072,0.25345658923641035,1
SGLTR_0073,0.10313299175986462,0
SGLTR_0074,0.24122872836060696,0
SGLTR_0075,0.5120450375439777,1
SGLTR_0076,0.5349037096546614,1
SGLTR_0077,0.4259009638056911,0
SGLTR_0078,0.2852554767664321,1
SGLTR_0079,0.24787248292333505,0
SGLTR_0080,0.4316679645245102,1
SGLTR_0081,0.1970520448002358,0
SGLTR_0082,0.37517806759442723,0
SGLTR_0083,0.30607302242294726,1
SGLTR_0084,0.30324768504005073,1
SGLTR_0085,0.48446557454412287,1
SGLTR_0086,0.09097264733509326,0
SGLTR_0087,0.325338840592838,1
SGLTR_0088,0.6046215741333603,1
SGLTR_0089,0.22808291410575965,0
SGLTR_0090,0.311867577054864,1
SGLTR_0091,0.27347695300348757,0
SGLTR_0092,0.21105905693146867,0
SGLTR_0093,0.06881685718489745,0
SGLTR_0094,0.1078420704249405,0
